연도,시도,아동학대유형_중복학대,아동학대유형_신체학대,아동학대유형_정서학대,아동학대유형_성학대,아동학대유형_방임(유기)
2022,울산 Ulsan,636,88,858,59,67
2022,세종 sejong,72,39,48,5,5
2022,경기 Gyeonggi,2628,1514,3085,123,495
2022,강원 Gangwon,323,217,360,18,64
2022,충북 Chungbuk,312,125,169,21,63
2022,충남 Chungnam,553,153,397,10,96
2022,전북 Jeonbuk,532,168,491,19,146
2022,전남 Jeonnam,416,224,649,65,90
2022,경북 Gyeongbuk,520,160,571,34,129
2022,경남 Gyeongnam,435,489,427,45,114
2022,제주 Jeju,203,51,113,11,46
